variant,threshold,accuracy,precision,recall,f1,roc_auc,FN,FP,total_cost
Raw       @ t=0.50,0.5,0.9743,0.9173,0.7748,0.8401,0.9937,145,45,290192.4
Raw       @ t=t_opt,0.001,0.9519,0.6446,0.9969,0.7829,0.9937,2,354,93669.12
ClassWt   @ t=0.50,0.5,0.9711,0.8318,0.837,0.8344,0.9939,105,109,229528.56
ClassWt   @ t=t_opt,0.003,0.9523,0.6459,1.0,0.7849,0.9939,0,353,89570.22
SMOTE     @ t=0.50,0.5,0.9701,0.8406,0.8106,0.8253,0.9936,122,99,259675.02
SMOTE     @ t=t_opt,0.0139,0.9531,0.6508,0.9953,0.787,0.9936,3,344,93054.3
Calibrated@ t=0.50,0.5,0.9771,0.9857,0.7484,0.8508,0.9931,162,7,313234.14
Calibrated@ t=t_opt,0.1257,0.9523,0.6462,0.9984,0.7846,0.9931,1,352,91239.06
CustomObj @ t=0.50,0.5,0.9713,0.8495,0.8152,0.832,0.9937,119,93,252384.84
CustomObj @ t=t_opt,0.005,0.9523,0.6462,0.9984,0.7846,0.9937,1,352,91239.06
